city,total_customers,total_revenue,avg_spending
sao joaquim,9,1310.39,145.5988888888889
sao joaquim da barra,31,6212.55,200.40483870967742
sao joaquim de bicas,8,1965.51,245.68875
sao joaquim do monte,1,107.95,107.95
sao jorge,1,87.02000000000001,87.02000000000001
sao jorge d'oeste,1,111.02000000000001,111.02000000000001
sao jorge do ivai,1,395.96,395.96
sao jorge do oeste,1,60.53,60.53
sao jorge do patrocinio,2,123.72000000000001,61.86000000000001
sao jose,164,25423.920000000002,155.0239024390244
sao jose da barra,6,1158.1100000000001,193.01833333333335
sao jose da bela vista,3,379.07000000000005,126.35666666666668
sao jose da boa vista,1,137.07,137.07
sao jose da coroa grande,2,289.78999999999996,144.89499999999998
sao jose da laje,2,296.36,148.18
sao jose da lapa,8,1237.52,154.69
sao jose da tapera,1,144.47,144.47
sao jose da vitoria,2,225.76000000000002,112.88000000000001
sao jose de mipibu,3,956.19,318.73
sao jose de ribamar,14,1870.87,133.63357142857143
sao jose de uba,3,544.52,181.50666666666666
sao jose do barreiro,2,408.45000000000005,204.22500000000002
sao jose do belmonte,2,299.84000000000003,149.92000000000002
sao jose do calcado,6,1127.26,187.87666666666667
sao jose do campestre,1,307.46,307.46
